year,importer1,importer2,flow1
2017,South Station,Kendall/MIT,11693
2017,Kendall/MIT,South Station,10257
2017,Harvard,Davis,9748
2017,Maverick,State Street,9160
2017,Harvard,Kendall/MIT,8944
2017,Davis,Harvard,8822
2017,Harvard,Park Street,8760
2017,South Station,Harvard,8523
2017,Kendall/MIT,Harvard,8379
2017,State Street,Maverick,8358
2017,Harvard,South Station,7699
2017,Park Street,Harvard,7539
2017,South Station,Central,7519
2017,Park Street,Central,7443
2017,Central,Park Street,7399
2017,Aquarium,Maverick,7375
2017,Wonderland,State Street,7313
2017,South Station,Alewife,7198
2017,Alewife,Kendall/MIT,7151
2017,South Station,North Quincy,7037
2017,Kendall/MIT,Alewife,7006
2017,Harvard,Downtown Crossing,6967
2017,State Street,Wonderland,6706
2017,Kendall/MIT,Porter,6680
2017,South Station,JFK/Umass,6654
2017,Porter,Kendall/MIT,6652
2017,Maverick,Aquarium,6624
2017,Airport,State Street,6609
2017,Charles/MGH,Harvard,6608
2017,Central,South Station,6596
2017,Central,Downtown Crossing,6548
2017,Harvard,Charles/MGH,6544
2017,Harvard,Alewife,6518
2017,Davis,Kendall/MIT,6479
2017,Alewife,South Station,6474
2017,Harvard,Central,6435
2017,JFK/Umass,Downtown Crossing,6416
2017,Central,Davis,6415
2017,Kendall/MIT,Davis,6356
2017,Downtown Crossing,Central,6277
2017,Malden Center,Downtown Crossing,6256
2017,Davis,Park Street,6233
2017,Davis,Central,6230
2017,Park Street,Davis,6222
2017,South Station,Davis,6164
2017,Alewife,Park Street,6164
2017,North Station,Back Bay,6161
2017,Alewife,Harvard,6119
2017,JFK/Umass,South Station,6033
2017,North Quincy,South Station,6024
2017,Back Bay,North Station,6001
2017,Park Street,Alewife,5898
2017,Charles/MGH,Central,5834
2017,Davis,Downtown Crossing,5755
2017,Central,Harvard,5684
2017,Alewife,Downtown Crossing,5679
2017,Downtown Crossing,Harvard,5661
2017,Davis,South Station,5599
2017,Downtown Crossing,Davis,5591
2017,Kendall/MIT,Central,5540
2017,Wellington,Downtown Crossing,5484
2017,Downtown Crossing,Malden Center,5459
2017,Downtown Crossing,Alewife,5428
2017,Central,Charles/MGH,5421
2017,Central,Kendall/MIT,5299
2017,South Station,Quincy Adams,5292
2017,Ashmont,Downtown Crossing,5209
2017,Downtown Crossing,JFK/Umass,5187
2017,Central,Alewife,5159
2017,Airport,Aquarium,5124
2017,Harvard,Porter,5066
2017,Alewife,Central,5032
2017,Park Street,Copley,5017
2017,Central,Porter,5013
2017,State Street,Airport,5012
2017,South Station,Charles/MGH,4989
2017,Back Bay,Downtown Crossing,4934
2017,Forest Hills,Back Bay,4879
2017,Kendall/MIT,Park Street,4810
2017,Aquarium,Airport,4804
2017,Porter,Central,4784
2017,Copley,Park Street,4779
2017,South Station,Quincy Center,4759
2017,Quincy Adams,South Station,4696
2017,Copley,Kenmore,4610
2017,Downtown Crossing,Wellington,4604
2017,Wellington,State Street,4596
2017,Forest Hills,Downtown Crossing,4546
2017,South Station,Wollaston,4542
2017,Malden Center,Back Bay,4474
2017,Malden Center,State Street,4408
2017,Park Street,Kenmore,4395
2017,Charles/MGH,South Station,4382
2017,Back Bay,Forest Hills,4377
2017,Park Street,Porter,4279
2017,Orient Heights,State Street,4279
2017,South Station,Porter,4269
2017,Ashmont,South Station,4237
