year,importer1,importer2,flow1
2017,Green,Green,55
2017,Gray,Green,7
2017,Blue,Green,22
2017,Green,Red,3
2017,Blue,Red,216
2017,Green,Green,19
2017,Red,Green,0
2017,Green,Green,34
2017,Green,Green,63
2017,Red,Gray,419
2017,Green,Green,12
2017,Green,Red,49
2017,Green,Green,4
2017,Red,Red,69
2017,Green,Blue,9
2017,Red,Green,40
2017,Green,Black,187
2017,Green,Green,4
2017,Green,Red,0
2017,Red,Green,33
2017,Green,Orange,9
2017,Green,Green,28
2017,Orange,Orange,1140
2017,Red,Green,0
2017,Green,Green,16
2017,Green,Gray,8
2017,Orange,Orange,2230
2017,Green,Green,0
2017,Red,Green,19
2017,Red,Green,24
2017,Red,Green,21
2017,Green,Red,35
2017,Green,Green,32
2017,Green,Orange,3
2017,Green,Green,0
2017,Green,Green,0
2017,Green,Green,81
2017,Blue,Orange,122
2017,Green,Green,10
2017,Red,Green,61
2017,Green,Green,3
2017,Blue,Red,15
2017,Green,Green,16
2017,Green,Orange,22
2017,Orange,Black,2676
2017,Green,Green,0
2017,Green,Green,0
2017,Blue,Green,2
2017,Black,Gray,124
2017,Blue,Green,2
2017,Green,Gray,89
2017,Green,Green,256
2017,Orange,Blue,144
2017,Orange,Green,3
2017,Red,Green,3
2017,Red,Red,873
2017,Blue,Green,44
2017,Red,Green,1
2017,Red,Green,19
2017,Green,Orange,10
2017,Orange,Green,4
2017,Orange,Green,1
2017,Green,Green,6
2017,Orange,Black,1
2017,Blue,Green,1
2017,Orange,Orange,1468
2017,Orange,Red,432
2017,Red,Blue,42
2017,Green,Green,15
2017,Green,Green,32
2017,Orange,Green,2
2017,Green,Orange,2
2017,Orange,Green,2
2017,Orange,Green,7
2017,Red,Green,6
2017,Green,Green,806
2017,Red,Green,0
2017,Red,Blue,247
2017,Orange,Blue,82
2017,Gray,Green,82
2017,Green,Green,2
2017,Red,Blue,233
2017,Blue,Green,74
2017,Green,Green,32
2017,Green,Red,519
2017,Orange,Red,991
2017,Green,Green,2
2017,Orange,Green,41
2017,Orange,Green,10
2017,Blue,Blue,459
2017,Green,Blue,33
2017,Orange,Blue,27
2017,Green,Blue,6
2017,Green,Green,623
2017,Green,Green,356
2017,Green,Red,0
2017,Blue,Green,177
2017,Black,Green,66
2017,Green,Green,11
2017,Green,Green,8
2017,Red,Blue,3
2017,Red,Green,32
2017,Green,Red,77
2017,Green,Green,0
2017,Orange,Green,3
2017,Green,Green,24
2017,Green,Green,677
2017,Red,Black,4060
2017,Orange,Green,2
2017,Red,Green,2
2017,Blue,Green,4
2017,Red,Red,1746
2017,Green,Blue,30
2017,Green,Orange,3
2017,Red,Red,598
2017,Orange,Green,4
2017,Blue,Red,215
2017,Blue,Red,122
2017,Red,Orange,574
2017,Red,Red,1386
2017,Green,Green,0
2017,Red,Orange,245
2017,Green,Green,2
2017,Green,Green,0
2017,Green,Green,3
2017,Green,Green,1104
2017,Red,Green,6
2017,Blue,Orange,110
2017,Blue,Red,23
2017,Green,Green,3
2017,Green,Green,0
2017,Green,Blue,1192
2017,Green,Orange,0
2017,Green,Orange,0
2017,Orange,Green,13
2017,Orange,Green,9
2017,Green,Green,0
2017,Red,Orange,680
2017,Orange,Green,31
2017,Green,Orange,7
2017,Green,Green,337
2017,Black,Green,10
2017,Green,Green,81
2017,Red,Black,135
2017,Green,Blue,15
2017,Green,Green,2
2017,Green,Green,753
2017,Red,Green,569
2017,Green,Green,1
2017,Red,Green,3
2017,Green,Orange,36
2017,Green,Green,12
2017,Green,Red,1
2017,Red,Blue,51
2017,Red,Green,46
2017,Green,Green,16
2017,Green,Green,213
2017,Orange,Green,1
2017,Green,Orange,7
2017,Green,Blue,33
2017,Red,Orange,333
2017,Red,Green,51
2017,Green,Green,5
2017,Green,Blue,2
2017,Green,Green,101
2017,Green,Orange,9
2017,Green,Orange,33
2017,Blue,Red,23
2017,Red,Green,1457
2017,Orange,Red,56
2017,Blue,Green,7
2017,Gray,Blue,1
2017,Orange,Green,77
2017,Green,Blue,9
2017,Green,Green,53
2017,Green,Orange,2
2017,Red,Red,999
2017,Green,Green,2
2017,Orange,Green,4
2017,Black,Orange,167
2017,Blue,Green,67
2017,Red,Blue,198
2017,Green,Green,932
2017,Red,Black,3612
2017,Green,Green,0
2017,Green,Green,92
2017,Red,Green,20
2017,Green,Blue,10
2017,Red,Green,56
2017,Green,Green,0
2017,Orange,Orange,699
2017,Blue,Green,11
2017,Green,Green,38
2017,Green,Green,3
2017,Red,Green,1
2017,Green,Blue,177
2017,Green,Green,0
2017,Green,Orange,16
2017,Red,Black,0
2017,Red,Green,30
2017,Green,Green,6
2017,Green,Green,3
2017,Black,Red,3
2017,Green,Orange,15
2017,Green,Orange,0
2017,Green,Blue,12
2017,Gray,Green,47
2017,Red,Green,281
2017,Blue,Green,1
2017,Green,Blue,9
2017,Gray,Green,14
2017,Green,Red,36
2017,Green,Blue,9
2017,Green,Red,46
2017,Green,Blue,720
2017,Green,Red,0
2017,Green,Green,0
2017,Orange,Green,5
2017,Orange,Green,1082
2017,Red,Green,14
2017,Blue,Orange,91
2017,Red,Red,165
2017,Blue,Red,18
2017,Red,Orange,0
2017,Orange,Green,2
2017,Green,Green,186
2017,Green,Gray,7
2017,Orange,Red,288
2017,Green,Green,7
2017,Orange,Red,217
2017,Green,Red,136
2017,Green,Green,4
2017,Green,Red,178
2017,Orange,Green,57
2017,Blue,Orange,168
2017,Green,Green,0
2017,Orange,Red,271
2017,Green,Red,3
2017,Green,Orange,22
2017,Orange,Red,323
2017,Green,Green,35
2017,Green,Red,14
2017,Red,Orange,400
2017,Red,Green,36
2017,Orange,Blue,66
2017,Red,Green,69
2017,Orange,Green,11
2017,Green,Green,18
2017,Green,Green,2
2017,Red,Green,5
2017,Green,Red,35
2017,Black,Red,0
2017,Red,Green,7
2017,Green,Green,1
2017,Red,Green,2
2017,Green,Orange,7
2017,Green,Green,10
2017,Red,Orange,54
2017,Orange,Orange,1329
2017,Blue,Green,2
2017,Red,Green,122
2017,Red,Red,616
2017,Orange,Green,75
2017,Green,Green,2
2017,Green,Red,2
2017,Blue,Green,23
2017,Orange,Green,9
2017,Green,Green,158
2017,Red,Green,1233
2017,Blue,Red,48
2017,Green,Green,118
2017,Green,Orange,0
2017,Red,Green,421
2017,Blue,Red,95
2017,Blue,Red,320
2017,Green,Green,264
2017,Green,Green,0
2017,Green,Green,15
2017,Green,Orange,4
2017,Blue,Orange,95
2017,Orange,Orange,1388
2017,Red,Red,91
2017,Green,Blue,3
2017,Black,Blue,639
2017,Green,Orange,0
2017,Orange,Green,2
2017,Green,Blue,26
2017,Blue,Green,28
2017,Orange,Green,24
2017,Green,Red,34
2017,Green,Red,59
2017,Green,Green,836
2017,Green,Green,41
2017,Orange,Orange,133
2017,Green,Green,0
2017,Orange,Blue,31
2017,Green,Red,0
2017,Green,Green,377
2017,Black,Green,24
2017,Blue,Green,445
2017,Green,Green,9
2017,Green,Green,479
2017,Green,Green,10
2017,Green,Green,0
2017,Green,Green,8
2017,Red,Green,25
2017,Green,Green,448
2017,Orange,Green,4
2017,Green,Green,4
2017,Green,Green,3
2017,Green,Green,229
2017,Blue,Green,72
2017,Red,Red,0
2017,Green,Orange,105
2017,Orange,Green,18
2017,Green,Red,51
2017,Green,Orange,148
2017,Green,Green,9
2017,Green,Green,219
2017,Green,Red,0
2017,Green,Black,0
2017,Green,Green,3
2017,Green,Green,48
2017,Green,Blue,45
2017,Red,Green,10
2017,Green,Blue,0
2017,Green,Blue,138
2017,Green,Red,46
2017,Green,Green,0
2017,Orange,Red,150
2017,Green,Green,3
2017,Red,Green,16
2017,Green,Green,200
2017,Green,Green,389
2017,Orange,Green,98
2017,Orange,Blue,56
2017,Orange,Orange,1009
2017,Blue,Green,1
2017,Green,Green,13
2017,Green,Green,6
2017,Green,Green,5
2017,Blue,Green,6
2017,Green,Green,379
2017,Green,Green,4
2017,Orange,Red,121
2017,Green,Blue,2
2017,Blue,Red,50
2017,Green,Blue,11
2017,Red,Black,0
2017,Green,Red,14
2017,Green,Red,210
2017,Red,Green,9
2017,Green,Green,0
2017,Orange,Green,13
2017,Green,Red,367
2017,Green,Orange,19
2017,Blue,Green,9
2017,Green,Green,10
2017,Red,Green,10
2017,Green,Gray,3
2017,Green,Green,0
2017,Green,Green,3
2017,Orange,Red,37
2017,Red,Orange,193
2017,Orange,Black,1
2017,Green,Red,20
2017,Red,Orange,287
2017,Green,Red,32
2017,Green,Orange,25
2017,Green,Gray,35
2017,Green,Green,1
2017,Red,Green,88
2017,Green,Green,73
2017,Red,Blue,174
2017,Green,Red,19
2017,Black,Green,39
2017,Red,Green,18
2017,Blue,Green,1
2017,Orange,Red,1
2017,Orange,Green,32
2017,Red,Green,13
2017,Blue,Orange,196
2017,Green,Orange,1
2017,Green,Blue,13
2017,Red,Green,3
2017,Orange,Red,323
2017,Green,Green,0
2017,Red,Green,646
2017,Red,Orange,225
2017,Red,Green,4
2017,Blue,Green,1
2017,Green,Green,0
2017,Green,Blue,0
2017,Orange,Gray,49
2017,Orange,Green,20
2017,Green,Green,72
2017,Red,Orange,29
2017,Green,Black,315
2017,Green,Green,240
2017,Orange,Green,10
2017,Red,Red,3
2017,Orange,Green,8
2017,Green,Orange,11
2017,Orange,Green,102
2017,Green,Green,75
2017,Red,Green,33
2017,Green,Green,7
2017,Red,Green,40
2017,Green,Blue,1
2017,Red,Green,0
2017,Red,Orange,0
2017,Blue,Green,52
2017,Green,Orange,52
2017,Green,Red,10
2017,Green,Green,0
2017,Green,Blue,399
2017,Orange,Orange,857
2017,Orange,Green,1
2017,Green,Blue,0
2017,Red,Green,7
2017,Green,Red,182
2017,Green,Green,5
2017,Green,Orange,0
2017,Green,Orange,16
2017,Green,Red,12
2017,Blue,Red,1
2017,Red,Red,251
2017,Red,Blue,109
2017,Orange,Red,250
2017,Green,Green,0
2017,Black,Green,43
2017,Red,Orange,763
2017,Green,Orange,0
2017,Green,Orange,33
2017,Orange,Green,2
2017,Blue,Orange,122
2017,Red,Black,2438
2017,Green,Black,1
2017,Red,Green,27
2017,Black,Black,837
2017,Green,Red,0
2017,Orange,Green,32
2017,Black,Blue,244
2017,Red,Green,148
2017,Green,Red,87
2017,Blue,Green,3
2017,Green,Green,1
2017,Orange,Green,48
2017,Green,Green,9
2017,Red,Green,21
2017,Orange,Red,288
2017,Orange,Blue,154
2017,Green,Red,11
2017,Green,Green,97
2017,Green,Green,17
2017,Green,Green,234
2017,Green,Green,2
2017,Green,Green,46
2017,Green,Green,156
2017,Green,Green,6
2017,Green,Green,7
2017,Green,Green,57
2017,Green,Red,26
2017,Green,Green,6
