year,importer1,importer2,flow1
2017,Waban,Chestnut Hill,55
2017,Courthouse,Longwood,7
2017,Orient Heights,Longwood,22
2017,Beaconsfield,Braintree,3
2017,State Street,South Station,216
2017,Harvard Ave.,Woodland,19
2017,Butler,Eliot,0
2017,Lechmere,Fenwood Road,34
2017,Museum of Fine Arts,Science Park,63
2017,Alewife,World Trade Center,419
2017,Science Park,Griggs Street,12
2017,Fenway,Broadway,49
2017,Woodland,Chiswick Road,4
2017,South Station,Mattapan,69
2017,Boston Univ. West,Wonderland,9
2017,Wollaston,Symphony,40
2017,Dean Road,Park Street,187
2017,Harvard Ave.,Waban,4
2017,South Street,Andrew,0
2017,Alewife,Harvard Ave.,33
2017,Englewood Ave.,Assembly,9
2017,Chestnut Hill Ave.,Boston College,28
2017,Tufts Medical Center,Oak Grove,1140
2017,Mattapan,Longwood,0
2017,Science Park,Packards Corner,16
2017,Tappan Street,Courthouse,8
2017,Community College,Malden Center,2230
2017,Hawes Street,Chestnut Hill Ave.,0
2017,Fields Corner,Boston Univ. Central,19
2017,Porter,Newton Highlands,24
2017,Braintree,Boston Univ. Central,21
2017,Hawes Street,Harvard,35
2017,Pleasant Street,Boston Univ. West,32
2017,Back of the Hill,Forest Hills,3
2017,Allston Street,Reservoir,0
2017,Washington Square,Back of the Hill,0
2017,Blandford Street,North Station,81
2017,Beachmont,Malden Center,122
2017,Chiswick Road,Brigham Circle,10
2017,Davis,Saint Mary Street,61
2017,Chestnut Hill Ave.,Brookline Village,3
2017,Wood Island,South Station,15
2017,North Station,Back of the Hill,16
2017,Washington Street,Forest Hills,22
2017,Roxbury Crossing,Downtown Crossing,2676
2017,Riverway,Sutherland Road,0
2017,Griggs Street,Waban,0
2017,State Street,Chiswick Road,2
2017,Park Street,Courthouse,124
2017,Suffolk Downs,Hawes Street,2
2017,Copley,Courthouse,89
2017,Washington Square,Saint Mary Street,256
2017,Green Street,Airport,144
2017,Massachusetts Ave.,Heath Street,3
2017,Butler,Coolidge Corner,3
2017,Quincy Adams,Harvard,873
2017,Orient Heights,Saint Mary Street,44
2017,North Quincy,Waban,1
2017,Harvard,Griggs Street,19
2017,Riverside,Roxbury Crossing,10
2017,Forest Hills,Kent Street,4
2017,Green Street,Newton Centre,1
2017,Eliot,Boston Univ. West,6
2017,Oak Grove,Government Center,1
2017,Beachmont,Chiswick Road,1
2017,Tufts Medical Center,Forest Hills,1468
2017,Wellington,Kendall/MIT,432
2017,North Quincy,Wonderland,42
2017,Brandon Hall,Summit Ave.,15
2017,Reservoir,Waban,32
2017,Oak Grove,Brandon Hall,2
2017,Fenwood Road,Green Street,2
2017,Tufts Medical Center,Blandford Street,2
2017,Roxbury Crossing,Saint Mary Street,7
2017,Kendall/MIT,Science Park,6
2017,Boylston,Mission Park,806
2017,Valley Road,Longwood Medical Area,0
2017,Porter,Maverick,247
2017,Jackson Square,Orient Heights,82
2017,World Trade Center,Arlington,82
2017,South Street,Boston College,2
2017,JFK/Umass,Orient Heights,233
2017,Airport,Museum of Fine Arts,74
2017,Tappan Street,Kent Street,32
2017,North Station,Davis,519
2017,Malden Center,Kendall/MIT,991
2017,Dean Road,Harvard Ave.,2
2017,Malden Center,Science Park,41
2017,Roxbury Crossing,Hynes Convention Center,10
2017,Revere Beach,Orient Heights,459
2017,Northeastern University,Wonderland,33
2017,Stony Brook,Wood Island,27
2017,Kent Street,Wood Island,6
2017,Copley,Warren Street,623
2017,Hynes Convention Center,Babcock Street,356
2017,Boylston,Cedar Grove,0
2017,State Street,Copley,177
2017,Government Center,Griggs Street,66
2017,Griggs Street,Riverside,11
2017,Haymarket,Haymarket,8
2017,Butler,Orient Heights,3
2017,Broadway,Saint Paul Street,32
2017,Riverside,Central,77
2017,Northeastern University,Brandon Hall,0
2017,Ruggles,Riverway,3
2017,Griggs Street,Northeastern University,24
2017,Copley,Prudential,677
2017,Porter,Park Street,4060
2017,Chinatown,Cleveland Circle,2
2017,Mattapan,Fairbanks Street,2
2017,Beachmont,Beaconsfield,4
2017,Braintree,Charles/MGH,1746
2017,Waban,Maverick,30
